id,route,party name
1,SANTHAPETTAI,ARASAN STORES
2,NORTH CAR STREET,SARATHI IYYANGAR BAKERY
3,EAST CAR STREET,KALIAMMAL MALIGAI
4,KOKRAYANPETAI,MALAIYAPPER MALIGAI
5,WEST CAR STREET,BARANI MEDICAL
6,MANIKAM PALAYAM,KRISNAVENI MALIGAIM
7,NORTH CAR STREET,PONMUTHAYA SUPER MARKET
8,KOLIKALNATHAM ROAD,PONKALIAMMAN MALIGAIU
9,SALEM ROAD,THIYA PALAMUTHIR SOLAI
10,MANIKAM PALAYAM,KONGU BAKERY AND HOTEL
11,NORTH CAR STREET,MASTER COFFI
12,KOLIKALNATHAM ROAD,VELAVAN DIPPARTMENT STORES
13,NORTH CAR STREET,MATHA MALIGAI
14,NORTH CAR STREET,KANDY STORS
15,NORTH CAR STREET,MADHURA FENCY
16,NORTH CAR STREET,BANGLOORE IYANGAR BAKERI
17,EAST CAR STREET,RATHA COOLDRINGS
18,NORTH CAR STREET,JAY MEDICAL
19,MANIKAM PALAYAM,SENTHIL KUMAR MALIGAI
20,EAST CAR STREET,ANNAI MALIGAI
21,EAST CAR STREET,TP SUPRAMANIAM MALIGAI
22,EAST CAR STREET,GOPALAKRISNAN MALIGAI
23,EAST CAR STREET,MAGESVARI TEA STAL
24,SOUTH CAR STREET,VENGATES VARA MEDICAL
25,SOUTH CAR STREET,DHANVANTHIRI MALIGAI
26,SOUTH CAR STREET,MASIPERIYASAMI PORI KADAI
27,SOLASIRAMANI MOLASI,THARANI MALIGAI
28,SOUTH CAR STREET,SEENIVASA MEDIGAL
29,SOUTH CAR STREET,BALAJI MEDIGAL TWO
30,KOKRAYANPETAI,MUTHU MALIGAI
31,SOUTH CAR STREET,SASIKUMAR MALIGAI
32,WEST CAR STREET,SABARI MEDIGAL
33,WEST CAR STREET,SATHYA MEDICAL
34,WEST CAR STREET,ASHVINI MEDICAL
35,WEST CAR STREET,ROYAL MEDIGAL
36,WEST CAR STREET,AMBIGA NARVALTI
37,SOUTH CAR STREET,SRI BALAJI MEDICALS
38,WEST CAR STREET,JJ KABE
39,WEST CAR STREET,BAWA MEDIGAL
40,WEST CAR STREET,REAL PALAMUTHIRSOLAI
41,WEST CAR STREET,ROYAL CIPS
42,NORTH CAR STREET,MAHALAXMI IYYANGAR BEKARY
43,WEST CAR STREET,SRI RAMDEV SHAPPING CENTRE
44,PAVADI STREET,ASSM STORE
45,WEST CAR STREET,MS MALIGAI
46,WEST CAR STREET,MAGALAXMI IYANGAR BAKERY
47,KUMARAMANGALAM,JAI IYANGAR BAKERY
48,SANGAGIRI ROAD,DISHA MEDICAL
49,SANGAGIRI ROAD,ALFA STORES
50,NAMAKAL SNT ROAD,ANGAPPA SWEETS
51,KOKRAYANPETAI,KUMARAN COFFI PAR
52,SANGAGIRI ROAD,KUMARAN STORES G
53,SANGAGIRI ROAD,KEERTHI MEDICAL
54,SANGAGIRI ROAD,ANTAL BOOKS STAL
55,NAMAKAL SNT ROAD,THIRUMALAI KUMARAN STURES
56,MORE PALAYAM,TAA MALIGAI
57,MANIKAM PALAYAM,SANTHI MALIGAI
58,SALEM ROAD,TSS MALIGAI
59,ANNANAGAR SPP COLNY,MAAYON BAAKERY
60,BUSTANT,DEEPA BISCUITS
61,MANIKAM PALAYAM,NELLAI STORES MP
62,BUSTANT,CENTRAL CAPE HOTEL
63,BUSTANT,ALAGAR BISCUITS COOLDRINGS
64,BUSTANT,SAN FRUIT STAL B.S
65,MORE PALAYAM,TK MALIGAI
66,MORE PALAYAM,MATHES VARAN MALIGAI
67,KOKRAYANPETAI,DEAR PLAZA P LTD
68,BUSTANT,SIVAGAMI MEDIGAL STORES
69,ELACHIPALAYAM,SR BAKERY
70,KOLIKALNATHAM ROAD,VRIKSHA GLOBAL SCHOOL
71,SALEM ROAD,SM STORES
72,MORE PALAYAM,VAM MALIGAI
73,SALEM ROAD,RAYAL MALIGAI
74,KOOTAPPALLI,THE NATURAL DEPARTMENT
75,SALEM ROAD,JAYAM BAKERY
76,SALEM ROAD,SAY MEDICAL
77,KOLIKALNATHAM ROAD,ARTHANARISVARA STORES
78,ELACHIPALAYAM,SRI VELAVAN DEPARTMENT STORES
79,SANGAGIRI ROAD,SHIVAM DIPARTMENTAL STORES
80,MORE PALAYAM,BGG MALIGAI
81,ANNANAGAR SPP COLNY,VINAYAGA VEG
82,SOLASIRAMANI MOLASI,MURUGAN MALIGAIE
83,SALEM ROAD,KANESAN MALIAI APURPALAYAM
84,PAVADI STREET,SABARI COOLDRINGS
85,KUMARAMANGALAM,MAHALASHMI BAKERY
86,PAVADI STREET,ABISAKTHI SUPER MARKET
87,PAVADI STREET,NELLAI STORS G
88,VELLORE ROAD,DEVASREE MALIGAI
89,PAVADI STREET,SANMUGA MEDICAL
90,ANNANAGAR SPP COLNY,NELLAI DIPPARTMENT STORES
91,NAMAKAL SNT ROAD,MAIN STOCK
92,NAMAKAL SNT ROAD,SUBITSHA MALIGAI
93,SANTHAPETTAI,RAYAL SNACKS SND BAKERY
94,NAMAKAL SNT ROAD,HONEY MALIGAI
95,NAMAKAL SNT ROAD,ARULSAKTHI BAKERY
96,NAMAKAL SNT ROAD,SRI VINAYAGA MEDICAL
97,NAMAKAL SNT ROAD,A K S BAKERY
98,NAMAKAL SNT ROAD,SSS SANTHIYA BAKERYN
99,VELLORE ROAD,TAPCMS LTD
100,VELLORE ROAD,NELLAI SUYAMBU MALIGAI
101,VELLORE ROAD,MAYURA IANGAR BAKARY
102,KUMARAMANGALAM,RAJI MEDICAL
103,VELLORE ROAD,MURUGAN PAL PANNAI
104,VELLORE ROAD,SELVARANI COOLDRINGS
105,VELLORE ROAD,CHITRA COOLDRINGS
106,KOKRAYANPETAI,MAHALAXMI BAKERY
107,VELLORE ROAD,KVS MALIGAI
108,VELLORE ROAD,K V N NALLAIYAN&SON
109,KOKRAYANPETAI,NELLAI SELVI MALIGAI
110,VELLORE ROAD,MURUGESAN MALIGAI
111,VELLORE ROAD,SIVAMURUGAN MALIGAI
112,VELLORE ROAD,KRB STORS
113,VELLORE ROAD,KIRUBASTORES
114,VELLORE ROAD,SIVASAKTHI MEDIGAL
115,SOLASIRAMANI MOLASI,SSS SIVASAKTHI BAKERY
116,PAVADI STREET,NEW IYANGAR BAKERY
117,VELLORE ROAD,BISHMI MALIGAI
118,VELLORE ROAD,DEVI BEEDA
119,SOLASIRAMANI MOLASI,NEW ROYAL MALIGAI
120,PAVADI STREET,SIVAGAMI MEDICAL
121,DEVANAKURUCHI,THIRUNAVAKARASU
122,KANTHAM PALAYAM,BECK HOUSE
123,SOLASIRAMANI MOLASI,SELVA BAKERY
124,VELLORE ROAD,MYSURE COFFI KAF
125,KOKRAYANPETAI,MURUGAN BAKERY
126,VELLORE ROAD,SIVABALAN MALIGAI
127,ETTIMADI,MATHINA MALIGAI
128,VELLORE ROAD,MATHUMITHA MALIGAI
129,KOKRAYANPETAI,YAMUNADEVI MALIGAI
130,VELLORE ROAD,MEENACHI MALIGAI
131,PAVADI STREET,SRI BAGAVATHI SUPER MARKET
132,BUSTANT,LUCKY STORES
133,BUSTANT,GOLDEN MALIGAI
134,SALEM ROAD,SRM SWEETS AND CAKES
135,SALEM ROAD,KANNAN DEPARTMENT
136,ERODE ROAD,SANGAR MARKETING
137,PUTHOOR THONDIKAD,MRV STORES
138,DEVANAKURUCHI,RKM MEDICAL
139,DEVANAKURUCHI,MOGAN MALIGAI
140,PAVADI STREET,NELLAI STORES TP
141,DEVANAKURUCHI,ARUMUGAM MALIGAI
142,PUTHOOR THONDIKAD,PONNUSAMI MALIGAI
143,PUTHOOR THONDIKAD,SUKUMAR MALIGAI
144,PUTHOOR THONDIKAD,NA STORES
145,ERODE ROAD,SS MALIGAIE
146,KOOTAPPALLI,RAJAMANIKKAM MALIGAI
147,ANNANAGAR SPP COLNY,NELLAI PRIYANGA MALIGAI
148,PAVADI STREET,MANI DUDY PAIDSHOP
149,KOOTAPPALLI,CAKE STER
150,KOOTAPPALLI,KANAGAM STORESK
151,KOOTAPPALLI,MUGAVAI MALIGAI
152,DEVANAKURUCHI,SAGAYAN MALIGAI
153,SIDTHA LANTHUR,ULAVAN BAKERYS
154,DEVANAKURUCHI,KAMALAM MALIGAI
155,KOOTAPPALLI,KURINJI BAKERY
156,THOKAVADI,ATHAVA BAKERY
157,THOKAVADI,TKM MALIGAI
158,THOKAVADI,SM TEA STAL
159,MANIKAM PALAYAM,SRI AMMAN BAKERY M
160,SOLASIRAMANI MOLASI,NEW STAR MALIGAI
161,KOOTAPPALLI,SANA BAKERY
162,THOKAVADI,KURINJI BAKERY K
163,THOKAVADI,CHOLA KENDIN KSR
164,KUMARAMANGALAM,GOLDEN MALIGAI K
165,THOKAVADI,SARJA BAKERY
166,THOKAVADI,BALAJI MALIGAI
167,THOKAVADI,KANISKA MALIGAI
168,THOKAVADI,SRI IYANAR STORES
169,NAMAKAL SNT ROAD,MATHESVARAN MALIGAI
170,NORTH CAR STREET,TAI MALIGAI
171,KOLIKALNATHAM ROAD,KUMARAN MALIGAI
172,NAMAKAL SNT ROAD,RAJAMANIKKAM MALIGAI N
173,KOKRAYANPETAI,NELLAI SARANYA MALIGAI
174,COLONY,SALEM STORE
175,COLONY,KEETHASRI MALIGAI
176,KOLIKALNATHAM ROAD,NIJAM MALIGAI
177,SOLASIRAMANI MOLASI,LECHIMI MALIGAIS
178,KUMARAMANGALAM,MKG BAKERY
179,COLONY,MARUTHI MEDICAL
180,KUMARAMANGALAM,REAIL IYANGAR BAKERY
181,KUMARAMANGALAM,NS MALIGAI
182,KUMARAMANGALAM,CLASIC PROW TEA SHOP
183,KUMARAMANGALAM,ANANDA SUPER MARKET
184,MANIKAM PALAYAM,DHANVANTHRI MEDICAL
185,KUMARAMANGALAM,MAYURA BAKERY MANDAPALAYAM
186,KUMARAMANGALAM,SENGUNTHAR ENJE COLL KENDIN
187,MANIKAM PALAYAM,RAJA MALIGAI
188,KUMARAMANGALAM,PRM MALIGAI
189,KUMARAMANGALAM,MASI KATHI BOOJA STORES
190,KUMARAMANGALAM,KONGU BALAKADAI TWO
191,KUMARAMANGALAM,MUGAVAI MALIGAI KU
192,KUMARAMANGALAM,DHARSINI MALIGAI
193,KUMARAMANGALAM,SRS MALIGAI
194,KUMARAMANGALAM,SRI MURUGAN BAKERY
195,KUMARAMANGALAM,MKM MALIGAI
196,KUMARAMANGALAM,HARI KRISHNA MALIGAI
197,KUMARAMANGALAM,SRI KUMARAN STORES
198,KUMARAMANGALAM,M K G ENTERPRISESS
199,ELACHIPALAYAM,RAJAJI MEDICAL
200,PAVADI STREET,SARAVANA MILK
201,VELLORE ROAD,JAI IYANGAR BAKERY K
202,KUMARAMANGALAM,MUTHARAMMAN MALIGAI
203,SANGAGIRI ROAD,IDHAYAM MEDICAL INDIA P LT D
204,SALEM ROAD,SRI SAKTHI CAKES & SWEETS
205,PAVADI STREET,KANESAN MALIGAI
206,ELACHIPALAYAM,SELACTION MALIGAI
207,ELACHIPALAYAM,NELLAI SANMUGA STORES
208,ELACHIPALAYAM,GOWTHAM MALIGAI
209,ELACHIPALAYAM,KONGU BAKERY ELIMEDU
210,KUMARAMANGALAM,NTR BANDIAN MALIGAI
211,ELACHIPALAYAM,SUGUNA MALIGAI
212,ELACHIPALAYAM,MAHALACHIMI BAKERY MANALI
213,MANIKAM PALAYAM,AFRA STORES
214,MANIKAM PALAYAM,AMMAN MALIGAI
215,DEVANAKURUCHI,NAVIN MALIGAI 1
216,DEVANAKURUCHI,RAJU MALIGAI
217,DEVANAKURUCHI,KTM MALIGAI
218,DEVANAKURUCHI,MUTHUKUMARAN DIPPARTMENT
219,DEVANAKURUCHI,MM 1 MALIGAI
220,DEVANAKURUCHI,ANGAPPAN MALIGAI
221,DEVANAKURUCHI,NALLAI SANDOS MALIGAI
222,COLONY,NALLAI MUTHARAMMAN MALIGAI
223,ETTIMADI,PALANIAPPAN MALIGAITWO
224,SIDTHA LANTHUR,SAKTHI MEDICAL
225,PATTARIMEDU,MUGAVAI MALIGAI B
226,PATTARIMEDU,IMAYAM MALIGAI
227,PATTARIMEDU,NILA MALIGAI
228,NORTH CAR STREET,PONMUTHAYA  SUPER MARKETTWO
229,SANTHAPETTAI,PPM MART 23.24
230,MANIKAM PALAYAM,SRI MAYURA BAKERY
231,COLONY,RM MALIGAI
232,DEVANAKURUCHI,TEA GLAUP
233,PATTARIMEDU,MURUGAN MALIGAI
234,PATTARIMEDU,THANGAM MEDICAL2
235,PATTARIMEDU,BMS MALIGAIP
236,PATTARIMEDU,RAGIM MALIGAI
237,SOLASIRAMANI MOLASI,ILAYABERUMAL MALIGAI
238,PATTARIMEDU,LUCK STORES
239,PATTARIMEDU,NM MALIGAI
240,KOKRAYANPETAI,ESVAR MALIGAI
241,VELLORE ROAD,INDIEN BAKERY
242,SIDTHA LANTHUR,SV STORES
243,SOLASIRAMANI MOLASI,ANGALAMMAN MALIGAIS
244,SIDTHA LANTHUR,KAVIN MALIGAI
245,SIDTHA LANTHUR,NAGAPPA MALIGAI
246,SIDTHA LANTHUR,NELLAIRAJ MALIGAI
247,SIDTHA LANTHUR,NEW BISMI MALIGAI
248,SIDTHA LANTHUR,BARANI STORES
249,SIDTHA LANTHUR,VADIVU MALIGAI
250,COLONY,KM MALIGAI
251,KANTHAM PALAYAM,SELVAKUMAR MALIGAI
252,KANTHAM PALAYAM,MAHALAXMI MALIGAIK
253,KANTHAM PALAYAM,LECHIMI MALIGAI
254,KOLIKALNATHAM ROAD,APSI MALIGAI
255,KANTHAM PALAYAM,CHENNAI BAKES
256,KANTHAM PALAYAM,VINAYAGA COOLDRINGS
257,BUSTANT,RANJITH COOLDRINGS
258,KANTHAM PALAYAM,MAHALAXMI BAAKERY
259,KANTHAM PALAYAM,ABUSEK MALIGAI
