route,party name
SANTHAPETTAI,ARASAN STORES
NORTH CAR STREET,SARATHI IYYANGAR BAKERY
EAST CAR STREET,KALIAMMAL MALIGAI
KOKRAYANPETAI,MALAIYAPPER MALIGAI
WEST CAR STREET,BARANI MEDICAL
MANIKAM PALAYAM,KRISNAVENI MALIGAIM
NORTH CAR STREET,PONMUTHAYA SUPER MARKET
KOLIKALNATHAM ROAD,PONKALIAMMAN MALIGAIU
SALEM ROAD,THIYA PALAMUTHIR SOLAI
MANIKAM PALAYAM,KONGU BAKERY AND HOTEL
NORTH CAR STREET,MASTER COFFI
KOLIKALNATHAM ROAD,VELAVAN DIPPARTMENT STORES
NORTH CAR STREET,MATHA MALIGAI
NORTH CAR STREET,KANDY STORS
NORTH CAR STREET,MADHURA FENCY
NORTH CAR STREET,BANGLOORE IYANGAR BAKERI
EAST CAR STREET,RATHA COOLDRINGS
NORTH CAR STREET,JAY MEDICAL
MANIKAM PALAYAM,SENTHIL KUMAR MALIGAI
EAST CAR STREET,ANNAI MALIGAI
EAST CAR STREET,TP SUPRAMANIAM MALIGAI
EAST CAR STREET,GOPALAKRISNAN MALIGAI
EAST CAR STREET,MAGESVARI TEA STAL
SOUTH CAR STREET,VENGATES VARA MEDICAL
SOUTH CAR STREET,DHANVANTHIRI MALIGAI
SOUTH CAR STREET,MASIPERIYASAMI PORI KADAI
SOLASIRAMANI MOLASI,THARANI MALIGAI
SOUTH CAR STREET,SEENIVASA MEDIGAL
SOUTH CAR STREET,BALAJI MEDIGAL TWO
KOKRAYANPETAI,MUTHU MALIGAI
SOUTH CAR STREET,SASIKUMAR MALIGAI
WEST CAR STREET,SABARI MEDIGAL
WEST CAR STREET,SATHYA MEDICAL
WEST CAR STREET,ASHVINI MEDICAL
WEST CAR STREET,ROYAL MEDIGAL
WEST CAR STREET,AMBIGA NARVALTI
SOUTH CAR STREET,SRI BALAJI MEDICALS
WEST CAR STREET,JJ KABE
WEST CAR STREET,BAWA MEDIGAL
WEST CAR STREET,REAL PALAMUTHIRSOLAI
WEST CAR STREET,ROYAL CIPS
NORTH CAR STREET,MAHALAXMI IYYANGAR BEKARY
WEST CAR STREET,SRI RAMDEV SHAPPING CENTRE
PAVADI STREET,ASSM STORE
WEST CAR STREET,MS MALIGAI
WEST CAR STREET,MAGALAXMI IYANGAR BAKERY
